date,price,long,exit,exit_,return,rolling_var,rolling_sharpe,location,cum_return,days,annual_return,required_return,required_return_loc,required_to_breakeven,max_drawdown,cr_vs_md,case_why,should_close,should_close_day,fecha_compra
2021-04-28,1772.2,0.0,0.0,0.0,-0.006697867331782681,,,23.076923076923077,-0.0366383996520977,78,-0.11360546370838964,-0.0004609007730544956,50.0,100.0,-0.08612595989471657,-0.42540483376772553,holded,0,0.0,2021-02-09
2021-04-29,1762.65,0.0,0.0,0.0,-0.005388782304480255,,,26.923076923076923,-0.04182974559686825,79,-0.12742149116361,-0.00051811836815574,50.0,100.0,-0.08612595989471657,-0.48568103795885026,holded,0,0.0,2021-02-09
2021-04-30,1767.65,0.0,0.0,0.0,0.0028366380166227056,,,73.07692307692308,-0.039111763426831314,80,-0.11809955542658923,-0.0004790896125871358,50.0,100.0,-0.08612595989471657,-0.4541228158692562,holded,0,0.0,2021-02-09
2021-05-04,1797.75,0.0,0.0,0.0,0.017028257856475992,,,96.15384615384616,-0.022749510763208858,84,-0.06670768535699001,-0.0002676866135224998,53.84615384615385,100.0,-0.08612595989471657,-0.2641423188898988,holded,0,0.0,2021-02-09
2021-05-05,1782.25,0.0,0.0,0.0,-0.008621888471700756,,,15.384615384615385,-0.031175255490323517,85,-0.08962330788547257,-0.00036092307399182566,53.84615384615385,100.0,-0.08612595989471657,-0.3619728073676422,holded,0,0.0,2021-02-09
2021-05-06,1813.15,0.0,0.0,0.0,0.017337635011923203,,,96.15384615384616,-0.014378125679495035,86,-0.04154922217433055,-0.00016596580936567573,53.84615384615385,96.15384615384616,-0.08612595989471657,-0.16694299485394842,holded,0,0.0,2021-02-09
2021-05-07,1836.55,0.0,0.0,0.0,0.012905716570609016,,,96.15384615384616,-0.0016579691237221805,87,-0.004794846684252896,-1.904112798556401e-05,57.69230769230769,65.38461538461539,-0.08612595989471657,-0.019250515474648306,holded,0,0.0,2021-02-09
2021-05-10,1840.45,1.0,0.0,0.0,0.0021235468677685,,,65.38461538461539,0.00046205696890688763,90,0.0012942975907681564,5.135165409786424e-06,61.53846153846154,50.0,-0.08612595989471657,0.005364897755238055,holded,0,0.0,2021-02-09
2021-05-11,1829.1,1.0,0.0,0.0,-0.006166970034502506,,,23.076923076923077,-0.005707762557077056,91,-0.01572642071885666,-6.254135385763693e-05,57.69230769230769,80.76923076923077,-0.08612595989471657,-0.0662722663881416,holded,0,0.0,2021-02-09
2021-05-12,1830.7,1.0,0.0,0.0,0.0008747471434038534,,,61.53846153846154,-0.004838008262665228,92,-0.013196251737546238,-5.245824973665325e-05,57.69230769230769,76.92307692307692,-0.08612595989471657,-0.0561736353194714,holded,0,0.0,2021-02-09
2021-05-13,1821.8,0.0,0.0,0.0,-0.004861528377123503,,,30.76923076923077,-0.00967601652533101,93,-0.026002512486228535,-0.0001035327829649324,57.69230769230769,92.3076923076923,-0.08612595989471657,-0.11234727063894924,holded,0,0.0,2021-02-09
2021-05-14,1838.1,0.0,0.0,0.0,0.008947195081787207,,,84.61538461538461,-0.0008153946510105481,94,-0.0021844539092200632,-8.67083606248542e-06,57.69230769230769,61.53846153846154,-0.08612595989471657,-0.00946746662687203,holded,0,0.0,2021-02-09
2021-05-17,1853.7,0.0,0.0,0.0,0.00848702464501394,,,84.61538461538461,0.007664709719504836,97,0.020034569013846593,7.932280078315479e-05,61.53846153846154,19.23076923076923,-0.08612595989471657,0.08899418629266309,holded,0,0.0,2021-02-09
2021-05-18,1866.75,0.0,0.0,0.0,0.00703997410584245,,,84.61538461538461,0.014758643183301334,98,0.03839211230305306,0.0001517156269821296,61.53846153846154,11.538461538461538,-0.08612595989471657,0.17136114594650467,holded,0,0.0,2021-02-09
2021-05-19,1888.45,0.0,0.0,0.0,0.011624481049953062,,,92.3076923076923,0.026554685801261746,99,0.06898741408070119,0.000271795382762674,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.3083238298153441,holded,0,0.0,2021-02-09
2021-05-20,1878.3,0.0,0.0,0.0,-0.005374778257301038,,,26.923076923076923,0.021037181996086618,100,0.05386437829862989,0.00021259140803531196,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.2442606389734665,holded,0,0.0,2021-02-09
2021-05-21,1875.9,0.0,0.0,0.0,-0.001277751157961915,,,50.0,0.019732550554468986,101,0.04996227436421563,0.00019730591006039688,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.22911269237046247,holded,0,0.0,2021-02-09
2021-05-24,1880.15,0.0,0.0,0.0,0.0022655791886561083,,,69.23076923076923,0.022042835399000316,104,0.05425180481415626,0.00021429181849530465,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.2559371811466167,holded,0,0.0,2021-02-09
2021-05-25,1887.0,0.0,0.0,0.0,0.0036433263303459196,,,76.92307692307692,0.02576647097195095,105,0.06295871805587794,0.0002485597439700893,61.53846153846154,7.6923076923076925,-0.08612595989471657,0.2991719454093609,holded,0,0.0,2021-02-09
2021-05-26,1899.75,0.0,0.0,0.0,0.006756756756756799,,,84.61538461538461,0.03269732550554516,106,0.07949082257495799,0.0003135018240105758,61.53846153846154,0.0,-0.08612595989471657,0.379645411737826,holded,0,0.0,2021-02-09
2021-05-27,1891.45,0.0,0.0,0.0,-0.004368995920515872,,,30.76923076923077,0.02818547510328373,107,0.06765267115647755,0.0002671282037409739,61.53846153846154,3.8461538461538463,-0.08612595989471657,0.3272587630690985,holded,0,0.0,2021-02-09
2021-05-28,1899.95,0.0,0.0,0.0,0.0044939067910862995,-0.013007895166475174,-0.32092283771809743,76.92307692307692,0.03280604479234661,108,0.07822765308114366,0.0003087347766099757,61.53846153846154,0.0,-0.08612595989471657,0.3809077406214095,holded,0,0.0,2021-02-09
2021-06-01,1899.35,0.0,0.0,0.0,-0.0003157977841522497,-0.013007895166475174,-0.32643181187850795,53.84615384615385,0.03247988693194204,112,0.07456725045158863,0.0002947004313234025,61.53846153846154,0.0,-0.08612595989471657,0.37712075397065653,holded,0,0.0,2021-02-09
