date,gold,volume
2011-09-13,1820.0,186087.0
2011-09-14,1818.5,172648.0
2011-09-15,1782.0,237735.0
2011-09-16,1794.0,190164.0
2011-09-19,1794.0,189056.0
2011-09-20,1799.0,174850.0
2011-09-21,1793.0,190869.0
2011-09-22,1722.0,278040.0
2011-09-23,1689.0,359497.0
2011-09-26,1598.0,373462.0
2011-09-27,1659.0,228887.0
2011-09-28,1643.0,218351.0
2011-09-29,1613.0,193524.0
2011-09-30,1620.0,152884.0
2011-10-03,1655.5,141395.0
2011-10-04,1638.0,200942.0
2011-10-05,1617.0,154703.0
2011-10-06,1635.0,124276.0
2011-10-07,1652.0,129495.0
2011-10-10,1661.0,92090.0
2011-10-11,1663.0,110057.0
2011-10-12,1682.0,112765.0
2011-10-13,1656.0,115586.0
2011-10-14,1678.0,95596.0
2011-10-17,1682.0,114497.0
2011-10-18,1631.0,195659.0
2011-10-19,1652.5,118146.0
2011-10-21,1642.5,127052.0
2011-10-25,1656.0,195637.0
2011-10-26,1715.0,151505.0
2011-10-27,1718.0,156347.0
2011-10-28,1741.0,107441.0
2011-10-31,1722.0,122243.0
2011-11-01,1699.0,174289.0
2011-11-02,1743.0,148068.0
2011-11-03,1758.0,162545.0
2011-11-04,1749.0,88468.0
2011-11-07,1782.0,150464.0
2011-11-08,1795.0,133687.0
2011-11-09,1784.0,161799.0
2011-11-10,1756.0,172534.0
2011-11-11,1773.0,106879.0
2011-11-14,1776.0,87588.0
2011-11-15,1785.0,132676.0
2011-11-16,1756.0,172664.0
2011-11-17,1742.5,229938.0
2011-11-18,1719.0,147927.0
2011-11-21,1702.0,209402.0
2011-11-22,1699.0,182848.0
2011-11-23,1681.0,173328.0
2011-11-25,1688.5,139442.0
2011-11-28,1714.0,175525.0
2011-11-29,1717.0,158257.0
2011-11-30,1746.0,187239.0
2011-12-01,1752.0,113555.0
2011-12-02,1747.0,107014.0
2011-12-05,1744.0,117520.0
2011-12-06,1708.0,133426.0
2011-12-07,1735.5,105726.0
2011-12-08,1715.0,173374.0
2011-12-09,1709.0,105584.0
2011-12-12,1659.5,165096.0
2011-12-13,1672.5,182892.0
2011-12-14,1603.0,283563.0
2011-12-15,1574.0,189916.0
2011-12-16,1594.0,137428.0
2011-12-19,1598.0,121278.0
2011-12-20,1613.5,101146.0
2011-12-21,1608.0,125152.0
2011-12-22,1606.5,96547.0
2011-12-28,1571.0,114256.0
2011-12-29,1531.0,132782.0
2012-01-03,1598.0,112937.0
2012-01-04,1613.0,154215.0
2012-01-05,1599.0,176473.0
2012-01-06,1616.5,155211.0
2012-01-09,1615.0,134386.0
2012-01-10,1637.0,168405.0
2012-01-11,1634.5,144552.0
2012-01-12,1661.0,146826.0
2012-01-13,1635.5,177525.0
2012-01-17,1656.0,193658.0
2012-01-18,1647.0,157218.0
2012-01-19,1655.0,130752.0
2012-01-20,1653.0,127005.0
2012-01-23,1675.5,131456.0
2012-01-24,1665.5,137344.0
2012-01-25,1650.0,240476.0
2012-01-26,1727.0,226656.0
2012-01-27,1726.0,175023.0
2012-01-30,1729.0,133373.0
2012-01-31,1744.0,157876.0
2012-02-01,1740.0,124538.0
2012-02-02,1751.0,142034.0
2012-02-03,1734.0,191907.0
2012-02-06,1719.0,137271.0
2012-02-07,1724.0,161623.0
2012-02-08,1746.0,151075.0
2012-02-09,1748.0,163236.0
2012-02-10,1711.5,178134.0
2012-02-13,1720.0,103506.0
2012-02-14,1722.0,148107.0
