date,pl,oz_exp,oz_long,oz_short,gold,long_signal,long_signal_size,long,short_signal,short_signal_size,short,pos,str,str_return,gold_return,str_cum_return,gold_cum_return
2021-09-30,312574.9999999998,500.0,18500.0,-18000.0,1742.8,0.0,0,0.0,1.0,1,0.0,1.0,1.0,0.0032524537316869218,0.0032524537316869218,-0.06912536041717632,-0.10312885961301
2021-10-01,319699.9999999998,0.0,18500.0,-18500.0,1757.05,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.008176497590084875,0.008176497590084875,-0.06151406616995625,-0.0957955948950191
2021-10-04,319699.99999999994,0.0,18500.0,-18500.0,1754.55,1.0,1,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0014228394183432025,-0.06151406616995625,-0.097082132564842
2021-10-05,319699.9999999998,500.0,19000.0,-18500.0,1753.2,1.0,1,1.0,0.0,0,0.0,1.0,1.0,-0.0,-0.0007694280584764623,-0.06151406616995625,-0.0977768629065463
2021-10-06,322949.9999999998,1000.0,19500.0,-18500.0,1759.7,0.0,0,1.0,1.0,1,0.0,2.0,2.0,0.0037075062742413234,0.0037075062742413234,-0.05803462368199408,-0.09443186496500666
2021-10-07,325349.9999999997,500.0,19500.0,-19000.0,1762.1,0.0,0,0.0,1.0,1,1.0,1.0,0.5,0.0027277376825591837,0.0013638688412795918,-0.0554651892293454,-0.0931967888019768
2021-10-08,330924.9999999997,0.0,19500.0,-19500.0,1773.25,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.003163838601668467,0.006327677203336934,-0.052476833534409684,-0.08745883079456629
2021-10-11,330924.9999999996,0.0,19500.0,-19500.0,1757.65,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.008797405893134047,-0.052476833534409684,-0.0954868258542616
2021-10-12,330924.9999999997,0.0,19500.0,-19500.0,1767.75,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005746308992120142,-0.052476833534409684,-0.09028921366817677
2021-10-13,330924.99999999977,0.0,19500.0,-19500.0,1785.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.010154150756611635,-0.052476833534409684,-0.08105187319884777
2021-10-14,330924.99999999977,0.0,19500.0,-19500.0,1798.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.007280058240465959,-0.052476833534409684,-0.07436187731576827
2021-10-15,330924.9999999996,0.0,19500.0,-19500.0,1772.65,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.014482681936954456,-0.052476833534409684,-0.08776759983532367
2021-10-18,330924.99999999977,0.0,19500.0,-19500.0,1767.85,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.002707810340450867,-0.052476833534409684,-0.09023775216138386
2021-10-19,330924.9999999997,0.0,19500.0,-19500.0,1779.55,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.006618208558418548,-0.052476833534409684,-0.08421675586661226
2021-10-20,330924.9999999997,0.0,19500.0,-19500.0,1778.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.000871006715180811,-0.052476833534409684,-0.08501440922190251
2021-10-21,330924.9999999997,0.0,19500.0,-19500.0,1779.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0007311586051743646,-0.052476833534409684,-0.0843454096335946
2021-10-22,330924.9999999997,0.0,19500.0,-19500.0,1808.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0162704434328107,-0.052476833534409684,-0.06944730341704453
2021-10-25,330924.99999999977,0.0,19500.0,-19500.0,1805.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0016590626296142386,-0.052476833534409684,-0.07099114862083211
2021-10-26,330924.9999999998,0.0,19500.0,-19500.0,1785.55,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.010912615981166107,-0.052476833534409684,-0.0811290654590372
2021-10-27,330924.99999999965,0.0,19500.0,-19500.0,1795.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005432499789980616,-0.052476833534409684,-0.07613729930012414
2021-10-28,330924.99999999977,0.0,19500.0,-19500.0,1803.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.004595460242306171,-0.052476833534409684,-0.0718917249897083
2021-10-29,330924.9999999996,0.0,19500.0,-19500.0,1769.15,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.01904629886332132,-0.052476833534409684,-0.08956875257307595
2021-11-01,330924.9999999998,0.0,19500.0,-19500.0,1793.8,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.013933244778565834,-0.052476833534409684,-0.07688349114862159
2021-11-02,330924.99999999977,0.0,19500.0,-19500.0,1790.45,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0018675437618462798,-0.052476833534409684,-0.07860745162618432
2021-11-03,330924.99999999977,0.0,19500.0,-19500.0,1763.45,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.01508000781926333,-0.052476833534409684,-0.09250205846027237
2021-11-04,330924.9999999996,0.0,19500.0,-19500.0,1796.15,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.018543196574895893,-0.052476833534409684,-0.07567414573898779
2021-11-05,330924.99999999977,0.0,19500.0,-19500.0,1801.85,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0031734543328785225,-0.052476833534409684,-0.07274083985179158
2021-11-08,330924.9999999997,0.0,19500.0,-19500.0,1822.35,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01137719566001616,-0.052476833534409684,-0.06219123095924317
2021-11-09,330924.9999999997,0.0,19500.0,-19500.0,1827.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.002716272944275344,-0.052476833534409684,-0.05964388637299356
2021-11-10,330924.99999999977,0.0,19500.0,-19500.0,1859.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.017566901986537653,-0.052476833534409684,-0.04312474269246647
2021-11-11,330924.99999999977,0.0,19500.0,-19500.0,1857.9,1.0,1,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0008067118425298947,-0.052476833534409684,-0.043896665294360315
2021-11-12,330924.99999999965,500.0,20000.0,-19500.0,1860.55,0.0,0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.0014263415684374614,-0.052476833534409684,-0.04253293536434799
2021-11-15,330599.9999999998,500.0,20000.0,-19500.0,1859.9,1.0,1,0.0,0.0,0,0.0,1.0,1.0,-0.0003493590604928265,-0.0003493590604928265,-0.052807859337641316,-0.04286743515850189
2021-11-16,330249.99999999977,1000.0,20500.0,-19500.0,1859.2,1.0,1,1.0,0.0,0,0.0,2.0,2.0,-0.00037636432066245895,-0.00037636432066245895,-0.0531643486641985,-0.04322766570605241
2021-11-17,335949.99999999977,1500.0,21000.0,-19500.0,1864.9,1.0,1,1.0,0.0,0,0.0,3.0,1.5,0.00613166953528399,0.003065834767641995,-0.04735866534598199,-0.040294359818855985
2021-11-18,329049.99999999953,2000.0,21500.0,-19500.0,1860.3,0.0,0,1.0,4.0,1,0.0,4.0,1.3333333333333333,-0.0036999302911685517,-0.0024666201941123678,-0.05088337187668768,-0.042661589131330335
2021-11-19,330649.99999999953,0.0,21500.0,-21500.0,1861.1,1.0,1,0.0,0.0,0,4.0,0.0,0.0,0.0005733842211830265,0.00043003816588726984,-0.050339163378059326,-0.0422498970769869
2021-11-22,330649.99999999953,500.0,22000.0,-21500.0,1816.05,1.0,1,1.0,0.0,0,0.0,1.0,1.0,-0.0,-0.02420611466337108,-0.050339163378059326,-0.06543330588719676
2021-11-23,317199.99999999953,1000.0,22500.0,-21500.0,1789.15,0.0,0,1.0,0.0,0,0.0,2.0,2.0,-0.014812367500894763,-0.014812367500894763,-0.0644058886913107,-0.0792764512144919
2021-11-24,310099.99999999953,1000.0,22500.0,-21500.0,1782.05,0.0,0,0.0,1.0,1,0.0,2.0,1.0,-0.007936729731995884,-0.003968364865997942,-0.07183144629161464,-0.08293021819678925
2021-11-26,328849.99999999953,500.0,22500.0,-22000.0,1800.8,1.0,1,0.0,0.0,0,1.0,1.0,0.5,0.010521590303302464,0.010521590303302464,-0.06206563703708623,-0.07328118567311692
2021-11-29,321424.9999999995,1000.0,23000.0,-22000.0,1785.95,1.0,1,1.0,0.0,0,0.0,2.0,2.0,-0.004123167481119461,-0.008246334962238921,-0.06593289750187947,-0.08092321943186531
2021-11-30,339874.9999999995,1500.0,23500.0,-22000.0,1804.4,0.0,0,1.0,1.0,1,0.0,3.0,1.5,0.02066127271200191,0.010330636356000955,-0.046633882365856416,-0.07142857142857184
