date,price,ma_price,volume,ma_volume,position,drift_price,drift_volume,corr,drift_corr,market_cases,market_cases_,rolling_sharpe,rolling_sortino
2010-03-26,5.1815484223445765,8.93700569824498,6450200.0,3471012.7734476994,0,0.049708213697759754,77102.71371962463,0.6912496763986677,-0.0005886852242696409,0,2.0,1.829676965328799,4.3536995860344945
2010-03-29,3.346082312155204,8.76136178846381,4569400.0,3505337.3742775605,0,-0.06296784804170444,55713.65727474288,0.6916877792238637,-7.529119953683899e-05,0,2.0,1.840152274546985,4.379271327082985
2010-03-30,11.750078025072751,8.855239434819532,3272200.0,3498051.8313313657,0,0.015454899157008692,24214.057164274058,0.6907561085519123,-0.0005034809357441367,0,2.0,2.01404020104352,4.808326110951233
2010-03-31,7.364248553577454,8.80841390339591,3373800.0,3494168.9616022496,0,-0.01568531613330649,10165.593717578982,0.690807902371511,-0.00022584355807269617,0,2.0,2.043792096022805,4.882957478536675
2010-04-01,5.5493673293763095,8.706077369475441,3504600.0,3494494.93155218,0,-0.05901092502688815,5245.781833754711,0.6934020257873839,0.001184139928900072,0,2.0,1.7678974218567187,4.190718574012296
2010-04-02,3.3239397501147323,8.537099641489652,2468200.0,3462423.214941091,0,-0.11399432650633853,-13412.967388667237,0.7020164937960734,0.0048993039687948315,3,3.0,1.7370286073056636,4.117741314704492
2010-04-05,,8.537099641489652,2468200.0,3431353.7394741033,0,-0.05699716325316927,-22241.22142782741,0.7214509675678931,0.012166888870307223,3,3.0,1.7157978270852303,4.06777962889226
2010-04-06,6.683276011149474,8.477088982317696,3720000.0,3440373.9351155595,0,-0.05850391121256276,-6610.51289318562,0.7305145723618575,0.01061524683213581,3,3.0,1.7830719662499934,4.227935382806067
2010-04-07,-5.263553583417661,8.032784873559777,2836000.0,3421487.2496431535,-1,-0.2514040099852408,-12748.5991827958,0.7369178573518078,0.008509265911043081,3,3.0,1.7117332022315894,4.049546798372057
2010-04-08,-6.143270783300977,7.5748984899321155,3207600.0,3414803.27309179,-1,-0.3546451968064511,-9716.287867079755,0.7395792778580983,0.0055853432086667805,3,3.0,1.8166646600050593,4.317147592660452
2010-04-09,-0.4703786640527596,7.315308724692537,3070000.0,3404028.170807647,0,-0.3071174810230148,-10245.695075611251,0.7418142869448546,0.003910176147711558,3,3.0,1.809352914023416,4.298850565635086
2010-04-12,-3.441502458806781,6.968580627595674,2587400.0,3378508.540469853,0,-0.32692278905993877,-17882.662706702547,0.7468321990317787,0.004464044117317797,3,3.0,2.2561537636593028,5.511125078426333
2010-04-13,22.559319828211528,7.470628744362718,2186000.0,3341242.6485800925,0,0.08756266385355232,-27574.277298231642,0.7368093029571191,-0.002779425978670881,0,3.0,1.9681319537606703,4.586592950619079
2010-04-14,1.3272274730991285,7.2729889458059365,1961400.0,3298122.5658118776,0,-0.05503856735161447,-35347.18003322325,0.7338966902969016,-0.002846019319444177,0,3.0,1.6774773227614777,3.8799875643751363
2010-04-15,9.051729138209566,7.3301602640047925,2580400.0,3275693.735630213,0,0.0010663754236207718,-28888.00510744402,0.729357584898847,-0.0036925623587494324,0,3.0,1.9253012461062393,4.475877478969956
2010-04-16,5.584329675610206,7.274096687535637,2975800.0,3266322.056391751,0,-0.02749860052276714,-19129.842172952955,0.7283989917962332,-0.002325577730681568,0,3.0,1.8297322463691994,4.252734660372677
2010-04-19,20.82536229683842,7.7088911396520885,3870200.0,3285193.2421295433,0,0.20364792579684196,-129.32821758027603,0.7268123180027938,-0.001956125762060516,0,3.0,1.8670970913823008,4.341972180854573
2010-04-20,-2.761794202599276,7.373217920698709,4981000.0,3338187.203313089,0,-0.0660126465782689,26432.316482982686,0.7315865864550027,0.0014090713450742236,0,3.0,1.8298903759223493,4.252291118437609
2010-04-21,4.189818430984133,7.271245719689782,2644200.0,3316500.1032095174,0,-0.08399242379359784,2372.60818970557,0.7267329577821142,-0.001722278663907149,0,3.0,1.7402310636034104,4.026107208713551
2010-04-22,9.123767877082171,7.3305402134510524,2381600.0,3287284.4749841713,0,-0.012348965016163671,-13421.510017820263,0.7287115242831664,0.00012814391857253287,3,3.0,1.8145514149913515,4.19876582781934
2010-04-23,17.900402398623783,7.668598395186732,2957200.0,3276969.3351408993,0,0.16285460835975774,-11868.324930546154,0.7178302114202428,-0.005376584472175532,0,3.0,1.7234313313333418,3.9826567057030218
2010-04-26,2.9679773192960965,7.5183675691873795,2116200.0,3240695.2934176894,0,0.006311891180202811,-24071.183326878025,0.7090859185908747,-0.007060438650771852,0,3.0,1.6810088247598332,3.883530194430953
2010-04-27,11.147667409049518,7.634276931362114,1329400.0,3180967.3154982957,0,0.06111062667746886,-41899.58062313586,0.6763894194190845,-0.01987846891128102,0,3.0,1.751465897032453,4.049460622749804
2010-04-28,-6.264783713379757,7.190685846745862,1771800.0,3136930.8368889093,-1,-0.19124022896939172,-42968.02961626111,0.654101532822118,-0.021083177754123737,0,3.0,1.6981272703199146,3.920070264704286
2010-04-29,-3.766037524336753,6.841232450006437,1406800.0,3082864.2482360536,0,-0.2703468128544083,-48517.30913455841,0.6327039151183689,-0.021240397728936444,0,3.0,1.6939664512021912,3.9103457984443257
2010-04-30,-6.985408447997088,6.400529791215147,1613000.0,3036930.9904786134,-1,-0.3555247358228491,-47225.28344599931,0.6083225026164462,-0.022810905115429582,0,3.0,1.7049595227094754,3.9357258810956988
2010-05-03,-15.186909791688322,5.712892456370177,1613000.0,2992433.1470260974,-1,-0.5215810353339095,-45861.563449257665,0.5830810803879921,-0.024026163671941814,0,3.0,1.764629562162229,4.07327581376576
2010-05-04,-4.862451376822946,5.376233048488846,1745800.0,2953475.8611814813,0,-0.4291202216076205,-42409.424646936895,0.5630623257848577,-0.022022459137538107,0,3.0,1.7408833355538789,4.017666937222486
2010-05-05,17.81360737689147,5.771937786047809,1791200.0,2917154.7405195143,0,-0.01670774202432848,-39365.27265445193,0.5124525298463093,-0.036316127538043266,0,3.0,1.5411476168506106,3.501676333288187
2010-05-06,-3.680071338711059,5.471384810531927,1648600.0,2877512.404878231,0,-0.15863035877010523,-39503.8041478675,0.4952457736344096,-0.026761441874971488,0,3.0,1.5197829997315802,3.450919162434509
2010-05-07,-19.79094644842008,4.668538364038769,1827400.0,2844696.392225748,-1,-0.4807384026316319,-36159.9084001754,0.5364134274916733,0.007203105991146121,3,3.0,1.7917258403679448,4.099157702109435
2010-05-10,15.232961766197375,5.004101761685354,2270200.0,2826743.379968673,0,-0.07258750249252321,-27056.46032862517,0.5543237755795511,0.012556727039511979,3,3.0,1.762774660538794,4.027386719588127
2010-05-11,-9.77156363234826,4.535015336275915,1848800.0,2796182.649344618,-1,-0.27083696395098117,-28808.595476340095,0.5574170139285013,0.007824982694231063,3,3.0,0.2033799457936899,0.28719683891632775
2010-05-12,-15.23556122314244,3.907666260629596,3469200.0,2817214.441552621,-1,-0.44909301979865013,-3888.4016341686074,0.5011199172696872,-0.02423605698229152,0,3.0,0.14675875909045702,0.20706159521147335
2010-05-13,2.6668354445137084,3.868311845956847,2577200.0,2809713.9902540934,0,-0.24422371723569952,-5694.4264663480135,0.45789433698084403,-0.03373081863556734,0,3.0,0.1347123475157525,0.19002973239541515
2010-05-14,10.150937489857595,4.067479889276573,2378200.0,2796229.1780586396,0,-0.022527836957986852,-9589.619330900903,0.4325744720435784,-0.02952534178641648,0,3.0,-0.23586049895258088,-0.3216479419511171
2010-05-17,14.11796972752336,4.385950752907603,2701200.0,2793259.5162443044,0,0.1479715133365217,-6279.640572618086,0.4278708063873743,-0.0171145037213103,0,3.0,-0.16070026498366896,-0.2192393148412541
2010-05-18,24.766737375292223,5.03147659197078,2288000.0,2777470.156361655,1,0.39674867619984905,-11034.500227633793,0.4069099937392229,-0.019037658184730858,0,3.0,-0.13336232459612857,-0.18198920402494984
2010-05-19,17.50637600927189,5.4264300887278765,2862400.0,2780124.2139753555,0,0.395851086478473,-4190.221306966582,0.39462638300083164,-0.015660634461561046,0,3.0,-0.1856040235369718,-0.25322534954646625
2010-05-20,29.68393211348348,6.194104431620188,2641400.0,2775789.082288622,1,0.5817627146853922,-4262.676496850076,0.37479425231903646,-0.017746382571678113,0,3.0,-0.18109385032039726,-0.2470846828784726
2010-05-21,7.208517067586172,6.226194694129532,3498400.0,2798370.6734671216,0,0.3069264885973682,9159.457340824776,0.39083528220725783,-0.0008526763417283714,0,3.0,-0.2944809120332432,-0.40143197690983046
2010-05-24,14.42686094626174,6.48551759868339,1937800.0,2771477.839921252,0,0.2831246965756129,-8866.688102522454,0.42015589006341625,0.014233965757215025,0,3.0,-0.2698056059859298,-0.36792354233579583
2010-05-25,3.907417683973108,6.40402280196982,1559400.0,2733600.4074236825,0,0.10081494993102147,-23372.06030004591,0.4230801838397422,0.008579129766770497,0,3.0,-0.2657266473057906,-0.3623779840370308
2010-05-26,-11.909243905636233,5.82534148588399,1760400.0,2703187.8946916685,-1,-0.23893318307740424,-26892.286516029984,0.41891657369372537,0.002207759810376824,3,3.0,-0.30639130511064133,-0.41695507142020205
2010-05-27,3.533718034430421,5.752953691140424,1689400.0,2671507.02298253,0,-0.15566048891048515,-29286.579112584302,0.4135192489452828,-0.0015947824690328715,0,3.0,-0.3225155888180631,-0.43877854286313195
2010-05-28,2.44943348161587,5.648637363231051,1851600.0,2645884.928514307,0,-0.12998840840992876,-27454.336790403617,0.40628268171054827,-0.004415674851883704,0,3.0,-0.3797930143368049,-0.5165481608966549
2010-05-31,-2.094117976623465,5.404221872466063,1834000.0,2620513.524498217,0,-0.18720194958745873,-26412.870403246852,0.4165300821669375,0.002915862802252759,3,3.0,0.871025783745558,1.6091871161984936
2010-06-01,0.1102276525075467,5.2371593601375785,2176400.0,2606634.976857638,0,-0.17713223095797143,-20145.709021912837,0.41105075821871595,-0.0012817305729843891,0,3.0,0.9030909297661628,1.6713537580475781
2010-06-02,13.344201420926993,5.492914675733998,1512400.0,2572440.133830814,0,0.03931154231922421,-27170.276024368333,0.3985457675438115,-0.006893360623944424,0,3.0,2.149841002824236,19.37624435594214
2010-06-03,5.963750346764527,5.507763856789109,2624000.0,2574051.379648602,0,0.02708036168716728,-12779.515103290194,0.39065551215152655,-0.007391808008114682,0,3.0,2.150115355926082,19.37962671613856
2010-06-04,15.529657158997908,5.823742618022605,1997600.0,2556037.274034572,0,0.1715295614603317,-15396.81035866023,0.3838260566968051,-0.007110631731418075,0,3.0,2.0790278696678297,18.729020603068363
2010-06-07,4.245366385454645,5.773992104907952,1507800.0,2523279.8592209714,0,0.06088952417283959,-24077.112586130355,0.3759399218659582,-0.0074983832811324775,0,3.0,2.08746522454057,18.85344410982995
2010-06-08,-27.02819877763659,4.740344235927318,1962800.0,2505764.863620306,-1,-0.4863791724038974,-20796.054093397906,0.3762789696576199,-0.00357966774473538,0,3.0,2.0761940041774856,18.31484857440281
2010-06-09,13.425507038829892,5.013955612453846,1692400.0,2480347.2116321567,0,-0.10638389793868469,-23106.85304077353,0.37899340067170695,-0.0004326183653241768,0,3.0,2.0675131636350255,18.18004647631536
2010-06-10,20.82901992422217,5.512056312859586,1648200.0,2454342.6112686377,0,0.19585840123352746,-24555.726702146287,0.372438165469506,-0.0034939267837625736,0,3.0,1.8635220515053956,16.311753499176028
2010-06-11,11.936826541707203,5.7143569531468215,3309200.0,2481056.904666507,0,0.19907952076038166,1079.2833478615812,0.3884741015816272,0.006271004664179328,2,2.0,1.8751590437076995,16.457353987379424
2010-06-14,2.585068953584141,5.615846569062851,3309200.0,2506936.376395692,0,0.0502845683382058,13479.377538523273,0.4071690855853414,0.012482994333946746,2,2.0,1.7129105341740523,14.983476238951775
2010-06-15,8.873209389973226,5.718365172493276,3309200.0,2532007.114633339,0,0.07640158588431521,19275.057888085074,0.41273684726773874,0.009025378008172056,2,2.0,1.7949622608690345,15.95090933149163
2010-06-16,-3.6267906100267737,5.42431170500562,3309200.0,2556294.392301059,0,-0.10882594080167018,21781.167777902472,0.40504824201777134,0.0006683863791023302,0,2.0,1.7770664460380086,15.716696447084054
2010-06-17,8.961852231655485,5.53559947549744,1933200.0,2536822.6925416416,0,0.0012309148450747043,1154.7340092426293,0.3901610218325324,-0.00710941690306832,0,2.0,1.6886011318848564,14.493401377573173
2010-06-18,4.5671840132527,5.505140384368126,1712400.0,2511059.4833997036,0,-0.014614088142119813,-12304.237566347692,0.3751170722572074,-0.011076683239196639,0,2.0,1.688383025028846,14.491100977799169
2010-06-21,4.424977349747223,5.4711734307213105,3311400.0,2536070.124543474,0,-0.024290520894467524,6353.201788711365,0.3520026981635778,-0.017095528666413118,0,2.0,1.6823724676857725,14.440008620539063
2010-06-22,26.58241473031489,6.134910212283813,2428400.0,2532705.433151489,1,0.31972313033401767,1494.2551983632166,0.32948117601966087,-0.019808525405165034,0,2.0,1.763649572429677,15.142024682887262
2010-06-23,0.1625978130432486,5.9471765565509935,1858600.0,2511639.6383654964,0,0.06599473730059896,-9785.769793814747,0.3490668354729147,-0.00011143297595558876,0,2.0,1.7585113131258472,15.079386740246981
2010-06-24,14.146395871803634,6.204863385874286,1871000.0,2491619.649666567,0,0.16184078331194565,-14902.879246372147,0.3909309731422865,0.02087635234670808,0,2.0,2.612522856292402,27.24803356951039
2010-06-25,2.271402383759323,6.0812637542537855,1361800.0,2456312.785614473,0,0.019120575845722645,-25104.8716492331,0.3938493637294072,0.011897371466914407,0,2.0,2.566386593803771,26.729345236154067
2010-06-28,3.9898183607688233,6.015556412452821,1720400.0,2433315.511064012,0,-0.023293382977620757,-24051.073099846923,0.39679174124363825,0.007419874490572725,3,3.0,2.5820226123690677,26.897472102290568
2010-06-29,23.42425585537876,6.5623974404267305,2088600.0,2422543.1513432576,0,0.2617738224981442,-17411.71641030068,0.39681998161228266,0.003724057429608565,0,3.0,2.6516018681615257,27.621443224441254
2010-06-30,6.996237389285625,6.5760229884836825,1054400.0,2379788.677863766,0,0.1376996852775481,-30083.09494489617,0.3850254468515547,-0.004035238665559692,0,3.0,2.6474112526358207,27.55663804993843
2010-07-01,-5.416999081208815,6.199418963855625,1298000.0,2345982.781680512,-1,-0.1194521696752546,-31944.495564075183,0.38720274227736773,-0.000928971619873336,0,3.0,2.6225918346007684,27.097359773307208
